GEO_ID,ID,NAME,B05006_001E,B05006_023E,Italy/total
0500000US36001,36001,"Albany County, New York",765,720,0.941176471
0500000US36003,36003,"Allegany County, New York",34,11,0.323529412
0500000US36005,36005,"Bronx County, New York",5577,4872,0.873587951
0500000US36007,36007,"Broome County, New York",616,534,0.866883117
0500000US36009,36009,"Cattaraugus County, New York",39,15,0.384615385
0500000US36011,36011,"Cayuga County, New York",139,139,1
0500000US36013,36013,"Chautauqua County, New York",305,250,0.819672131
0500000US36015,36015,"Chemung County, New York",132,100,0.757575758
0500000US36017,36017,"Chenango County, New York",82,80,0.975609756
0500000US36019,36019,"Clinton County, New York",107,59,0.551401869
0500000US36021,36021,"Columbia County, New York",128,112,0.875
0500000US36023,36023,"Cortland County, New York",138,131,0.949275362
0500000US36025,36025,"Delaware County, New York",83,57,0.686746988
0500000US36027,36027,"Dutchess County, New York",1164,1042,0.895189003
0500000US36029,36029,"Erie County, New York",2622,1968,0.750572082
0500000US36031,36031,"Essex County, New York",29,19,0.655172414
0500000US36033,36033,"Franklin County, New York",31,20,0.64516129
0500000US36035,36035,"Fulton County, New York",96,96,1
0500000US36037,36037,"Genesee County, New York",60,19,0.316666667
0500000US36039,36039,"Greene County, New York",146,106,0.726027397
0500000US36041,36041,"Hamilton County, New York",0,0,0
0500000US36043,36043,"Herkimer County, New York",194,191,0.984536082
0500000US36045,36045,"Jefferson County, New York",77,36,0.467532468
0500000US36047,36047,"Kings County, New York",15847,13331,0.841231779
0500000US36049,36049,"Lewis County, New York",13,13,1
0500000US36051,36051,"Livingston County, New York",94,53,0.563829787
0500000US36053,36053,"Madison County, New York",59,56,0.949152542
0500000US36055,36055,"Monroe County, New York",3614,3152,0.872163807
0500000US36057,36057,"Montgomery County, New York",107,88,0.822429907
0500000US36059,36059,"Nassau County, New York",13095,11104,0.847957236
0500000US36061,36061,"New York County, New York",9099,5514,0.606000659
0500000US36063,36063,"Niagara County, New York",901,693,0.769145394
0500000US36065,36065,"Oneida County, New York",491,416,0.847250509
0500000US36067,36067,"Onondaga County, New York",1841,1560,0.847365562
0500000US36069,36069,"Ontario County, New York",146,78,0.534246575
0500000US36071,36071,"Orange County, New York",1564,1264,0.808184143
0500000US36073,36073,"Orleans County, New York",19,19,1
0500000US36075,36075,"Oswego County, New York",98,68,0.693877551
0500000US36077,36077,"Otsego County, New York",66,57,0.863636364
0500000US36079,36079,"Putnam County, New York",1325,1118,0.843773585
0500000US36081,36081,"Queens County, New York",16548,13276,0.802272178
0500000US36083,36083,"Rensselaer County, New York",278,231,0.830935252
0500000US36085,36085,"Richmond County, New York",6934,6451,0.930343236
0500000US36087,36087,"Rockland County, New York",1537,1334,0.867924528
0500000US36089,36089,"St. Lawrence County, New York",127,106,0.834645669
0500000US36091,36091,"Saratoga County, New York",531,426,0.802259887
0500000US36093,36093,"Schenectady County, New York",1040,971,0.933653846
0500000US36095,36095,"Schoharie County, New York",53,53,1
0500000US36097,36097,"Schuyler County, New York",0,0,0
0500000US36099,36099,"Seneca County, New York",49,48,0.979591837
0500000US36101,36101,"Steuben County, New York",104,57,0.548076923
0500000US36103,36103,"Suffolk County, New York",8106,6785,0.837034296
0500000US36105,36105,"Sullivan County, New York",425,344,0.809411765
0500000US36107,36107,"Tioga County, New York",59,52,0.881355932
0500000US36109,36109,"Tompkins County, New York",137,90,0.656934307
0500000US36111,36111,"Ulster County, New York",643,529,0.822706065
0500000US36113,36113,"Warren County, New York",106,98,0.924528302
0500000US36115,36115,"Washington County, New York",105,28,0.266666667
0500000US36117,36117,"Wayne County, New York",99,78,0.787878788
0500000US36119,36119,"Westchester County, New York",13069,11378,0.87060984
0500000US36121,36121,"Wyoming County, New York",16,16,1
0500000US36123,36123,"Yates County, New York",0,0,0